Functions/Math/ScreenSpaceBoundingBox_SupportFunction.uasset	ScreenSpaceBoundingBox_SupportFunction	Designed for a specific usage case and not widely applicable. 	—
Functions/Math/Slerp_Vectors.uasset	Slerp_Vectors	Performs a spherical lerp operation from point A to B via "Alpha" and then scales the resulting vector.	—
Functions/Math/SmoothLerpOverTime.uasset	SmoothLerpOverTime	Smoothly converge on a, potentially, moving target value over time.	—
Functions/Math/SpherePlaneIntersection.uasset	SpherePlaneIntersection	Find any position in which a plane intersects a sphere. 	—
Functions/Math/SpotLightOverlapTest.uasset	SpotLightOverlapTest	If the particle position lies within a cone, defined by the parameters, a value of 1 will be returned. Various level's of overlap will be returned via a unit space float.	—
Functions/Math/SubUV_TextureCoordinates.uasset	SubUV_TextureCoordinates	To produce a flipbook animation with this function multiply your uvs within the material by this function's UV Scale output then add the UV Offset output to the result.	—
Functions/Math/Transform2DLocalPositionToWorldSpace.uasset	Transform2DLocalPositionToWorldSpace	Transform a 2d local space position to 3d world space using a 2d local space position, an x and y basis vector and a pivot position in world space.	—
Functions/Math/TransformZ_DepthToCameraRelativePosition.uasset	TransformZ_DepthToCameraRelativePosition	652 | 1	Converts camera space z depth values to camera relative world positions. 
Functions/Math/V2/SmoothLerpOverTime.uasset	SmoothLerpOverTime	Smoothly converge on a, potentially, moving target value over time.	—
Functions/Math/Waveforms/CalculateWaveform.uasset	CalculateWaveform	Value in which a complete rotation has occurred.	—
Functions/NormalizeDistanceRange.uasset	NormalizeDistanceRange	Compares the length between two vectors to a distance value, and normalizes within that range. If the distance between the two points is under a tiny value in length (near zero), then pass the fallback vector through as the Normalized Vector Between Points	—
Functions/NormalizedExecutionIndex.uasset	NormalizedExecutionIndex	By default, the range is Inclusive, meaning the normalized range includes 1. In some cases, making the range exclusive of 1 can be desirable, for instance when feeding a periodic function.	—
Functions/ParametricTorus.uasset	ParametricTorus	Value in which a complete rotation has occurred.	—
Functions/ParametricTorusKnot.uasset	ParametricTorusKnot	Value in which a complete rotation has occurred.	—
Functions/PivotPainter/ConvertIndexTo2DLookup.uasset	ConvertIndexTo2DLookup	Converts an Index into an XY coordinate.	—
Functions/PivotPainter/FindPixelCount.uasset	FindPixelCount	Retrieves the number of pixels within a texture.	—
Functions/PivotPainter/PivotPainter16bitTextureAlphaDataTypes.uasset	PivotPainter16bitTextureAlphaDataTypes	—	—
Functions/PivotPainter/PivotPainter8BitTextureAlphaDataTypes.uasset	PivotPainter8BitTextureAlphaDataTypes	—	—
Functions/PivotPainter/PivotPainterTextureRGBDataTypes.uasset	PivotPainterTextureRGBDataTypes	—	—
Functions/PivotPainter/ms_PivotPainter2_CalculateMeshElementIndex_NF.uasset	ms_PivotPainter2_CalculateMeshElementIndex_NF	Finds the index of a pivot painter 2 element based off of it's uv coordinate and the data texture's dimensions. 	—
Functions/PivotPainter/ms_PivotPainter2_Decode8BitAlphaAxisExtent_NF.uasset	ms_PivotPainter2_Decode8BitAlphaAxisExtent_NF	Converts a pivot painter 2 8 bit alpha extent value from it's stored 0-1 value to the correct world space 8-2048 unit value.	—
Functions/PivotPainter/ms_PivotPainter2_DecodeAxisVector_NF.uasset	ms_PivotPainter2_DecodeAxisVector_NF	Converts a Pivot Painter data texture vector to world space. 	—
Functions/PivotPainter/ms_PivotPainter2_DecodePostion_NF.uasset	ms_PivotPainter2_DecodePostion_NF	Converts a pivot painter 2 position texture value to world positions.	—
Functions/PivotPainter/ms_PivotPainter2_PackIntegerAsFloat_NF.uasset	ms_PivotPainter2_PackIntegerAsFloat_NF	Converts an input Int into the Half Float format. Supports values up to 61439. Values up to 30719 can be passed without negative values.	—
Functions/PivotPainter/ms_PivotPainter2_ReturnParentTextureInfo_NF.uasset	ms_PivotPainter2_ReturnParentTextureInfo_NF	Finds the UV coordinates for a Pivot Painter 2 element's parent data in a Pivot Painter 2 data texture. 	—
Functions/PivotPainter/ms_PivotPainter2_UnpackIntegerAsFloat_NF.uasset	ms_PivotPainter2_UnpackIntegerAsFloat_NF	Takes in Pivot Painter 2 data texture's alpha channel and unpacks it to an int. Note that the alpha channel has to be an index exported as a float.	—
Functions/PointToLineSegmentDistance.uasset	PointToLineSegmentDistance	Finds the closest point on a line segment.	—
Functions/PolarToCartesianCoordinates.uasset	PolarToCartesianCoordinates	Converts Polar Space coordinates to cartesian. Also provides the derivatives(tangents).	—
Functions/Position/RecreateCameraProjection.uasset	RecreateCameraProjection	712 | 1	Recreate world position from a z depth capture.
Functions/ProjectVectorOnPlane.uasset	ProjectVectorOnPlane	668 | 1	OutputDataFloat(0, 0, TmpWriteIndex, Context.Map.Particles.Ouput.x);
Functions/RandomBool.uasset	RandomBool	Return either true or false with 50% probability.	—
Functions/RandomPointInBox.uasset	RandomPointInBox	Depending on the selected value, the random value returned will be a different one every frame or will be different only once per spawn evaluation.	—
Functions/RandomPointInSphere.uasset	RandomPointInSphere	A|o	Generates vectors to uniform random points inside a sphere between an inner and an outer radius. 
Functions/RandomRange.uasset	RandomRange	Generates uniform random numbers in an interval.	—
Functions/RandomRangeFloat.uasset	RandomRangeFloat	Generates uniform random numbers in an interval for floating point types.	—
Functions/RandomRangeInteger.uasset	RandomRangeInteger	Generates uniform random numbers in an interval for integer types, including booleans and enums.	—
Functions/RandomUnitVector.uasset	RandomUnitVector	Generates random numbers on the unit sphere and unit circle (radius 1), i.e. random unit vectors.	—
Functions/RandomVector.uasset	RandomVector	—	—
Functions/RandomVectorInCone.uasset	RandomVectorInCone	x|W	Randomly distribute inside the circle. Defaults to distance squared
Functions/ReflectVector.uasset	ReflectVector	—	—
Functions/RemapRange.uasset	RemapRange	Remaps an input value from the input range to the output range.	—
Functions/Ribbons/FindGridLocationRibbonID.uasset	FindGridLocationRibbonID	This function can be used to set a grid aligned particles Ribbon ID to form axis aligned ribbons. 	—
Functions/Rotation/AlignQuaternions.uasset	AlignQuaternions	If the quaternions are pointing in two different directions, negate the new rotation to better align with the old.	—
Functions/Rotation/AngleBetweenQuaternions.uasset	AngleBetweenQuaternions	—	—
Functions/Rotation/AngleUnitConverter.uasset	AngleUnitConverter	-b| f	Convert Degrees to Radians or vice versa.
Functions/Rotation/AxisAngleToEuler.uasset	AxisAngleToEuler	AxisAngle.xyz= normalize(AxisAngle).xyz;	—
Functions/Rotation/AxisAngleToQuaternion.uasset	AxisAngleToQuaternion	—	—
Functions/Rotation/AxisAngleToRotationMatrix.uasset	AxisAngleToRotationMatrix	—	—
Functions/Rotation/ConvertRotationsToRadians.uasset	ConvertRotationsToRadians	Convert Radians to the number of rotations and vice versa.	—
Functions/Rotation/EulerRadiansToQuaternion.uasset	EulerRadiansToQuaternion	—	—
Functions/Rotation/EulerToAxisAngle.uasset	EulerToAxisAngle	X|WD	—
Functions/Rotation/EulerToQuaternion.uasset	EulerToQuaternion	—	—
Functions/Rotation/EulerToRotationMatrix.uasset	EulerToRotationMatrix	—	—
Functions/Rotation/ExtractBasisVectorsFromQuaternion.uasset	ExtractBasisVectorsFromQuaternion	—	—
Functions/Rotation/FindQuatBetween.uasset	FindQuatBetween	These blocks are here strictly for backwards compatibility.  They provide hidden default values which should be discouraged.	—
Functions/Rotation/InverseQuaternion.uasset	InverseQuaternion	—	—
Functions/Rotation/InvertQuaternion.uasset	InvertQuaternion	Reverses the rotation that a quat performs.	—
Functions/Rotation/LerpQuaternion.uasset	LerpQuaternion	—	—
Functions/Rotation/MakeQuaternionFrom3BasisVectors.uasset	MakeQuaternionFrom3BasisVectors	—	—
Functions/Rotation/MakeQuaternionFromXAndYVectors.uasset	MakeQuaternionFromXAndYVectors	Safely generates a quat from an X and Y Vector.	—
Functions/Rotation/MakeQuaternionFromXAndZVectors.uasset	MakeQuaternionFromXAndZVectors	Safely generates a quat from an X and Z Vector.	—
Functions/Rotation/MakeQuaternion_Fn.uasset	MakeQuaternion_Fn	Default value for Engine.Owner.SystemXAxis. Disabled for Engine Parameters.	—
Functions/Rotation/MatrixToQuaternion.uasset	MatrixToQuaternion	—	—
Functions/Rotation/MultiplyBy2PI.uasset	MultiplyBy2PI	—	—
